date,equity
2015-02-02,101087.03209439326
2015-03-04,103439.70545035377
2015-04-02,103644.08835753065
2015-05-04,101343.22759960894
2015-06-03,106256.3288198208
2015-07-02,106005.30150382151
2015-08-03,108011.60942431398
2015-09-01,98179.38139748358
2015-10-01,97406.63157196071
2015-10-30,103816.98960249322
2015-12-01,104783.60934601394
2015-12-31,102540.47179770865
2016-02-02,97172.93839882137
2016-03-03,99896.67460633918
2016-04-04,105302.81497984148
2016-05-03,103911.47442287672
2016-06-02,108026.18775593868
2016-07-01,111994.27291974136
2016-08-02,113369.10433696621
2016-08-31,112496.17123614869
2016-09-30,115404.19775211958
2016-10-31,109136.36083594714
2016-11-30,118561.4126444482
2016-12-30,120239.33460613403
2017-02-01,122997.85358648987
2017-03-03,129125.0401510693
2017-04-03,125301.16046067106
2017-05-03,125531.10123937357
2017-06-02,132976.66519727962
2017-07-03,124538.26707537715
2017-08-02,129214.45366446875
2017-08-31,132520.193804449
2017-10-02,133732.34681309696
2017-10-31,140329.65809571213
2017-11-30,143427.41592909364
2018-01-02,147659.2828396271
2018-02-01,152786.26632080483
