date,equity
2015-02-02,97822.7762407498
2015-03-04,103518.73825503173
2015-04-02,102012.80846171007
2015-05-04,105786.95945015302
2015-06-03,108177.2364198901
2015-07-02,105805.8602231409
2015-08-03,102478.50276524584
2015-09-01,96424.77213478567
2015-10-01,92656.31162138439
2015-10-30,98026.00751080942
2015-12-01,98921.55368354134
2015-12-31,92504.9913972749
2016-02-02,78722.06233817093
2016-03-03,85876.95478498474
2016-04-04,88953.89949653135
2016-05-03,94193.62950122084
2016-06-02,100596.53963171679
2016-07-01,104626.13129215097
2016-08-02,104752.98433755767
2016-08-31,109822.90333674868
2016-09-30,111719.64457720258
2016-10-31,111073.0477543413
2016-11-30,121256.69361461212
2016-12-30,119001.66183399221
2017-02-01,125335.0578479747
2017-03-03,126131.71043784377
2017-04-03,126255.10695530576
2017-05-03,126689.76585723415
2017-06-02,127929.83638981786
2017-07-03,132287.4742322824
2017-08-02,136659.44553498735
2017-08-31,133382.77480518824
2017-10-02,140205.39493818782
2017-10-31,138499.7017087825
2017-11-30,144872.19228347595
2018-01-02,146627.6773566075
2018-02-01,150565.85318696144
