date,equity
2015-02-02,100406.18401683452
2015-03-04,100354.494096363
2015-04-02,99457.48994978503
2015-05-04,98332.12801804711
2015-06-03,98661.76455750261
2015-07-02,97376.2701389384
2015-08-03,100646.795638915
2015-09-01,93435.91416426162
2015-10-01,93305.73878576442
2015-10-30,98298.3308940894
2015-12-01,97950.68512452068
2015-12-31,99304.96081158053
2016-02-02,100422.38498568894
2016-03-03,103163.04784016311
2016-04-04,107200.60095102711
2016-05-03,106490.78270462721
2016-06-02,106823.02346358406
2016-07-01,113191.67120317716
2016-08-02,111731.2713865758
2016-08-31,109538.0328494524
2016-09-30,108541.39600871367
2016-10-31,106456.78329970062
2016-11-30,111179.56623132907
2016-12-30,113362.59302983065
2017-02-01,113932.50580680359
2017-03-03,120323.8395288695
2017-04-03,119445.01722187319
2017-05-03,120479.15674553231
2017-06-02,124327.66810703937
2017-07-03,123007.56170439723
2017-08-02,124345.48149145147
2017-08-31,125270.23594250494
2017-10-02,123656.89902905782
2017-10-31,125096.47858552758
2017-11-30,128448.98732848105
2018-01-02,123698.17572202923
2018-02-01,123985.0542090828
