date,equity
2015-02-02,100369.12246583885
2015-03-04,101624.42681770775
2015-04-02,100955.94735862041
2015-05-04,100443.84580163674
2015-06-03,101066.06716637476
2015-07-02,99118.34499461223
2015-08-03,101499.28311587128
2015-09-01,94748.24887482695
2015-10-01,95024.35841032478
2015-10-30,99221.73445161166
2015-12-01,99261.70479381051
2015-12-31,99595.01620929447
2016-02-02,100245.7438101834
2016-03-03,102899.99494327696
2016-04-04,107843.67815008872
2016-05-03,106937.65016017226
2016-06-02,107488.10825324724
2016-07-01,113528.0697757967
2016-08-02,112063.32974221172
2016-08-31,109993.9619945025
2016-09-30,108630.3982370577
2016-10-31,107013.4537847498
2016-11-30,111760.93250168985
2016-12-30,113955.37451065649
2017-02-01,113692.17374039239
2017-03-03,120081.81472035618
2017-04-03,119759.8033796399
2017-05-03,121475.75861043953
2017-06-02,125365.05912638528
2017-07-03,124252.6139481259
2017-08-02,125420.91857901457
2017-08-31,126195.53717104292
2017-10-02,124567.79173471879
2017-10-31,126017.97565315705
2017-11-30,129462.22709325205
2018-01-02,124719.81591686876
2018-02-01,124808.83339187292
