date,equity
2015-02-02,97363.81926465985
2015-03-04,100113.9793187515
2015-04-02,99593.75812981553
2015-05-04,101534.9317311584
2015-06-03,103291.22527330452
2015-07-02,99813.91018902452
2015-08-03,96605.67504725528
2015-09-01,90898.62868402267
2015-10-01,88219.83971687237
2015-10-30,93837.85580186221
2015-12-01,93815.51803309697
2015-12-31,87334.84019149208
2016-02-02,74802.79478920232
2016-03-03,83659.14620147664
2016-04-04,86682.20976978379
2016-05-03,92678.64805361792
2016-06-02,99552.58574832005
2016-07-01,102793.82883457353
2016-08-02,102918.46032075808
2016-08-31,108512.93346970818
2016-09-30,110206.28210607021
2016-10-31,109472.95997105833
2016-11-30,119784.42608668035
2016-12-30,117752.18366684734
2017-02-01,123579.7761560594
2017-03-03,123677.5369600029
2017-04-03,122682.32394777889
2017-05-03,122763.63881171797
2017-06-02,123965.2794488529
2017-07-03,127671.83390397578
2017-08-02,131810.70978115557
2017-08-31,128650.29673452584
2017-10-02,135589.8360965693
2017-10-31,133832.81596473747
2017-11-30,140890.837951238
2018-01-02,142775.03257463846
2018-02-01,146226.04722030813
