date,equity
2015-02-02,99666.08908120259
2015-03-04,100829.83735946583
2015-04-02,99793.37966475094
2015-05-04,98817.62319500663
2015-06-03,99084.02042246191
2015-07-02,97236.87647549434
2015-08-03,99579.82680363029
2015-09-01,92102.56359917147
2015-10-01,92948.67442006155
2015-10-30,97434.0757555025
2015-12-01,96532.27180989801
2015-12-31,96818.75971116762
2016-02-02,97467.69120824627
2016-03-03,100457.2265404469
2016-04-04,104768.27868164334
2016-05-03,103722.5923277222
2016-06-02,105141.01786704564
2016-07-01,108370.15405399652
2016-08-02,108003.88965700984
2016-08-31,105786.13464893479
2016-09-30,104790.79989062731
2016-10-31,103222.19775163953
2016-11-30,106740.14671912995
2016-12-30,108617.30786471457
2017-02-01,107670.986928544
2017-03-03,113356.53344451824
2017-04-03,113335.61860411134
2017-05-03,114822.371045227
2017-06-02,118406.16043701238
2017-07-03,115898.11823199785
2017-08-02,118814.66489830341
2017-08-31,120160.33358525482
2017-10-02,117939.51128244735
2017-10-31,119582.48080887807
2017-11-30,122506.60303217052
2018-01-02,121063.17319948749
2018-02-01,122811.28499881378
