date,equity
2015-02-02,100129.65621167462
2015-03-04,104615.38838151707
2015-04-02,103189.2025494982
2015-05-04,101228.29185969253
2015-06-03,106840.74007351356
2015-07-02,110157.25148266963
2015-08-03,112111.33868308301
2015-09-01,102764.03758442607
2015-10-01,102073.50559474749
2015-10-30,106008.2862589552
2015-12-01,107537.44009373574
2015-12-31,105005.06177626157
2016-02-02,97192.06824737744
2016-03-03,100185.36664074022
2016-04-04,105654.00657191614
2016-05-03,103007.92062976545
2016-06-02,105910.50282640429
2016-07-01,107577.23213615335
2016-08-02,108802.58622471585
2016-08-31,107909.72165084867
2016-09-30,109334.27594025823
2016-10-31,104575.35930486517
2016-11-30,108676.99284090956
2016-12-30,108904.5237193452
2017-02-01,112623.79625228848
2017-03-03,115089.53027818621
2017-04-03,112717.0912122225
2017-05-03,112232.34443877685
2017-06-02,118451.82259282448
2017-07-03,112308.7289153243
2017-08-02,112429.61909345472
2017-08-31,112976.64705417315
2017-10-02,115328.82594740581
2017-10-31,120655.19911783541
2017-11-30,123159.0576991611
2018-01-02,123498.50909084482
2018-02-01,128016.1036766271
