date,equity
2015-02-02,98835.95999350707
2015-03-04,101187.16066393808
2015-04-02,100066.11401466076
2015-05-04,99043.72849391265
2015-06-03,97679.07075840603
2015-07-02,96569.03336549032
2015-08-03,96491.7803632564
2015-09-01,88702.0457589428
2015-10-01,88684.95174808474
2015-10-30,92155.22163916628
2015-12-01,92781.96898127883
2015-12-31,89768.11245273623
2016-02-02,81859.247612388
2016-03-03,82759.7230602928
2016-04-04,84786.28701894725
2016-05-03,86492.31630458088
2016-06-02,91083.85230199
2016-07-01,89515.50200146092
2016-08-02,93201.78601291099
2016-08-31,92670.6757892541
2016-09-30,94775.34681667469
2016-10-31,91201.13534694962
2016-11-30,98710.96985642222
2016-12-30,100827.60930735298
2017-02-01,100909.83509407002
2017-03-03,103274.83683981698
2017-04-03,104691.54581977108
2017-05-03,104472.12364539265
2017-06-02,111842.85555778367
2017-07-03,107693.80723274004
2017-08-02,110224.05238104507
2017-08-31,109721.3267268016
2017-10-02,109831.46158977755
2017-10-31,110517.10975531876
2017-11-30,112517.9350250948
2018-01-02,115546.52955974887
2018-02-01,117150.6356585842
