date,equity
2015-03-04,99157.43068500717
2015-04-02,98433.52763174291
2015-05-04,97491.05157602513
2015-06-03,97974.88462535532
2015-07-02,96242.67072829885
2015-08-03,98718.24498988767
2015-09-01,91749.06908349379
2015-10-01,92244.59512295364
2015-10-30,97566.58760632439
2015-12-01,97558.41677670111
2015-12-31,97993.33663146166
2016-02-02,98680.94904568254
2016-03-03,102298.50700846314
2016-04-04,106002.26573166167
2016-05-03,105215.27613761896
2016-06-02,105143.58639984521
2016-07-01,110689.09138340967
2016-08-02,108812.9962240737
2016-08-31,106914.41906100576
2016-09-30,105564.39731305403
2016-10-31,104395.77335501745
2016-11-30,106460.34616804046
2016-12-30,109553.40616649542
2017-02-01,108537.11778145753
2017-03-03,114798.2403975098
2017-04-03,114210.72196607615
2017-05-03,114808.8213908928
2017-06-02,118622.59959943367
2017-07-03,118149.96203243686
2017-08-02,119889.39775157179
2017-08-31,119030.93112978789
2017-10-02,121085.13454352021
2017-10-31,122585.62620802983
2017-11-30,124941.43093950271
2018-01-02,121279.19509590189
2018-02-01,122039.07937441784
