date,equity
2015-02-02,101225.02798099614
2015-03-04,106750.42954572556
2015-04-02,107962.11311990059
2015-05-04,106248.10094420642
2015-06-03,112380.34594101246
2015-07-02,114580.98505531433
2015-08-03,116564.2140600087
2015-09-01,107588.97684482852
2015-10-01,106238.346211609
2015-10-30,110375.35834343248
2015-12-01,112459.5787560295
2015-12-31,109703.94113575225
2016-02-02,100502.02972456234
2016-03-03,104242.6438664725
2016-04-04,109841.09425078916
2016-05-03,108749.75441400602
2016-06-02,112621.092300486
2016-07-01,115949.73257710095
2016-08-02,118821.27237438854
2016-08-31,118486.64093892199
2016-09-30,119992.78524432112
2016-10-31,114380.43067625024
2016-11-30,120961.56272369686
2016-12-30,122620.3114648661
2017-02-01,127216.93899453453
2017-03-03,129591.54212555173
2017-04-03,128179.88393013389
2017-05-03,127999.78972556011
2017-06-02,134725.04751928977
2017-07-03,127920.73170260794
2017-08-02,128304.90667601355
2017-08-31,128929.17608130975
2017-10-02,129958.21733028168
2017-10-31,135954.79841598333
2017-11-30,139574.9784306313
2018-01-02,139659.00884968595
2018-02-01,144764.86149016183
