date,equity
2015-02-02,100796.87322995
2015-03-04,110398.40958011418
2015-04-02,111421.33193866104
2015-05-04,110586.93673082026
2015-06-03,119250.92507307354
2015-07-02,118241.66906772857
2015-08-03,119708.5364819453
2015-09-01,112791.3221131462
2015-10-01,112310.39361592509
2015-10-30,116960.23472544401
2015-12-01,118455.36767205417
2015-12-31,113760.30879728339
2016-02-02,110084.15804206597
2016-03-03,117620.58097188346
2016-04-04,125546.53015759596
2016-05-03,131598.5143890563
2016-06-02,136102.4691684297
2016-07-01,140585.22591561117
2016-08-02,148005.46407091408
2016-08-31,145562.50505034806
2016-09-30,148450.3544551286
2016-10-31,140051.8378563453
2016-11-30,159373.48081374346
2016-12-30,173087.49883010343
2017-02-01,178060.96857861272
2017-03-03,183623.26573032033
2017-04-03,179685.83855756768
2017-05-03,171656.46518486447
2017-06-02,188674.0876494075
2017-07-03,172992.39879491107
2017-08-02,183583.8997396305
2017-08-31,186367.49871731273
2017-10-02,191441.4883847653
2017-10-31,206787.2156167391
2017-11-30,212498.48079460385
2018-01-02,218431.80635531424
2018-02-01,223784.53982085004
