date,equity
2015-02-02,100816.99195281576
2015-03-04,106969.79267445809
2015-04-02,107064.75995180983
2015-05-04,104003.83790512092
2015-06-03,107699.72399949674
2015-07-02,109595.34616891634
2015-08-03,110696.95611073771
2015-09-01,102409.19020156785
2015-10-01,101366.11635074767
2015-10-30,106110.22881216383
2015-12-01,108127.24004668609
2015-12-31,105275.98741603423
2016-02-02,100770.8801877114
2016-03-03,102783.86980807169
2016-04-04,108085.23216950492
2016-05-03,106643.74546090835
2016-06-02,110242.02278124195
2016-07-01,114411.66227624426
2016-08-02,119626.6104810698
2016-08-31,116703.5525602741
2016-09-30,117312.56708582416
2016-10-31,111010.95362556164
2016-11-30,124483.44170943752
2016-12-30,128716.28557703967
2017-02-01,130335.32317754219
2017-03-03,136891.69552719494
2017-04-03,134869.03416994022
2017-05-03,135327.03232361723
2017-06-02,142060.90508223991
2017-07-03,137113.83507645872
2017-08-02,142799.3751359604
2017-08-31,145483.05363452758
2017-10-02,148151.88266817672
2017-10-31,156304.70902790313
2017-11-30,158513.52813202838
2018-01-02,160798.72149227443
2018-02-01,168391.73053583512
