date,equity
2015-02-02,100037.70367461775
2015-03-04,104464.2663159328
2015-04-02,105408.22353636914
2015-05-04,104596.93833723903
2015-06-03,105283.22430265842
2015-07-02,104628.99591388556
2015-08-03,105212.19324319773
2015-09-01,96722.33244976906
2015-10-01,97669.406081094
2015-10-30,103433.2942358462
2015-12-01,104140.79020994072
2015-12-31,102026.02846915525
2016-02-02,91841.56171000715
2016-03-03,93448.68225554141
2016-04-04,97121.3163629559
2016-05-03,100546.41683984033
2016-06-02,103400.6288791414
2016-07-01,104862.36960876384
2016-08-02,107454.93321969353
2016-08-31,109824.18067729047
2016-09-30,111356.60868012886
2016-10-31,108735.87414683707
2016-11-30,122435.66811529944
2016-12-30,125537.93022897001
2017-02-01,127193.67610131514
2017-03-03,130765.38307977984
2017-04-03,131967.74963409692
2017-05-03,131635.3973354956
2017-06-02,139301.51786188493
2017-07-03,134830.6864812844
2017-08-02,135785.03622766692
2017-08-31,136736.81760826262
2017-10-02,139496.90379183582
2017-10-31,144316.48616841255
2017-11-30,149501.5755207572
2018-01-02,156534.09107926596
2018-02-01,163994.56462312306
