date,equity
2015-02-02,99138.95291908827
2015-03-04,100522.4802914342
2015-04-02,99900.7078188353
2015-05-04,98819.32364901641
2015-06-03,97390.78780109275
2015-07-02,96559.84992163834
2015-08-03,97239.6288483774
2015-09-01,89093.05728543171
2015-10-01,88678.65147499203
2015-10-30,90691.985702906
2015-12-01,91743.65115135639
2015-12-31,90776.3896159198
2016-02-02,83701.49254328178
2016-03-03,85361.53452534147
2016-04-04,87085.33959261069
2016-05-03,89420.7177322353
2016-06-02,94627.4133372827
2016-07-01,94067.69307849272
2016-08-02,98477.06053211496
2016-08-31,99664.00372934747
2016-09-30,101559.90694623486
2016-10-31,97844.67498463152
2016-11-30,105236.07698691227
2016-12-30,108568.52340961955
2017-02-01,108964.95331758822
2017-03-03,111609.47476391336
2017-04-03,113225.22698103529
2017-05-03,114742.8603854594
2017-06-02,122540.74717973295
2017-07-03,118365.51133432574
2017-08-02,119394.81376634704
2017-08-31,119067.811393378
2017-10-02,119903.27035985647
2017-10-31,121229.11945588808
2017-11-30,123423.87722848143
2018-01-02,126506.5069942658
2018-02-01,127977.00286336242
